Prueba 10,500,1200,2200,2900,4600,6300,7100,9300,11100,12900,15700,18200,21000,24200,27400,31800,42000,37400,42500,45900,50200,55800,59800,64700,68700,75500,81300,93400,179800,114900,111500,113500,117300,139500,151400,149600,154300,162300,185800,178600,283400,188800,249800,205500,318600,239600,233700,243000,281100,376500,272200,305900,309600,303900,377600,335200,338100,388200,370100,423700,396400,397100,438000,483400,441300,449100,498600,528000,487400,589700,544100,574700,548700,561900,655900,673200,704400,661100,725300,758500,747000,806000,738300,795900,862500,857100,878200,896900,913800,821700,908600,1002600,996700,895700,1072800,1038600,1138300,1106100,1166100
Prueba 11,400,1300,2000,2700,4600,6000,7200,9000,10900,13300,15600,18400,21000,24000,27500,30100,35800,37200,41900,47600,51500,55000,60000,65100,69900,76100,81000,92500,152900,99300,111800,112000,117300,129900,281700,152800,154800,164600,171900,244200,197700,188300,249700,205900,214200,235400,241600,243000,279800,361400,271200,321900,310500,304700,385600,335300,339100,386000,369200,425100,405000,401200,433800,482900,518400,517100,463100,526100,490700,561500,545200,531700,622500,563600,655900,676100,692500,648500,724600,762600,704200,802300,789600,798300,893600,856200,873400,911100,943800,822700,929300,978100,1000300,931900,1079600,980700,1115100,1127600,1127900
Prueba 12,600,1100,1900,2900,4500,6300,7000,9100,11100,12800,15900,17900,22000,24400,28200,30500,34400,36900,42300,46100,50700,56600,60100,65100,69700,76100,81000,95100,162400,99200,112200,113500,118300,130000,206700,151300,155100,162900,170100,210100,271000,188400,197300,205800,214900,235200,234200,243400,280300,418800,341100,314400,308400,304900,384300,351700,339000,417900,371400,422100,395300,399500,433100,497200,924600,449600,491000,534400,488300,576000,543800,532100,545700,575500,672600,671800,690600,657300,728800,762500,704000,802700,718200,820500,861400,857800,875800,906500,955100,824600,930700,978600,1000600,1017800,1101800,1050800,1115100,1137500,1126700
Prueba 13,400,1100,2000,2800,4600,6100,6900,9000,10900,12900,15200,18100,21100,24300,27600,30600,34700,37300,42300,47100,49900,54900,60100,153400,71200,75600,81800,95000,210100,142700,111800,111700,119800,127900,224900,152700,156100,178800,170100,222000,189900,186300,197900,208700,217500,235700,234100,242700,280500,419800,412500,313900,517100,304700,381800,354500,342000,412100,502600,428300,422100,499500,432400,494400,437000,447900,474800,543800,490400,572200,543400,532800,547500,574900,725300,672200,690800,657400,721100,765200,703500,806000,753800,794800,898700,878000,877900,895600,912600,821500,930600,979000,1004500,966500,1073200,1005400,1083000,1136900,1128100
Prueba 14,500,1300,2000,2900,4800,6200,7200,8900,10800,12900,16000,18200,21400,24500,27500,30700,34500,82000,79900,46700,50000,54500,59700,65000,70000,76500,81900,95900,173400,105400,111000,112100,119600,127100,132200,150300,154800,165900,171100,221500,188100,249600,197100,202900,216000,233400,233700,242700,280800,396400,270800,305600,561400,425800,380400,343700,338000,398600,371500,426900,415600,396200,432000,493900,518900,450600,505600,572700,788800,572600,543300,532200,618300,576100,660400,674700,691400,654200,725700,765200,686100,841100,720400,818500,861100,882300,877400,894800,913800,820600,943400,977800,971200,965200,1068900,995000,1084100,1170100,1161700
Prueba 15,400,1200,1900,2900,4800,6100,7200,8800,10800,13100,15500,18700,20600,25300,28200,30500,35800,38100,57400,46000,50900,55300,59800,65100,83100,75800,81700,93100,160100,103900,110200,113400,121200,145100,197100,151400,156000,179100,170700,270200,187400,187600,196100,205400,215600,235300,266000,242200,265600,260800,274100,306500,291100,305900,451600,474900,485000,377700,369300,426200,405300,569900,494600,544000,435900,488000,507400,543400,531200,576100,562600,617500,941700,574700,688400,673800,688900,654200,725600,764600,686200,804000,789200,819000,863000,855900,922400,909800,918900,822500,931200,979800,1009300,1039800,1071600,980500,1132300,1141300,1158800
Prueba 16,500,1200,2200,3000,6200,6300,7200,8700,11000,13300,15500,18100,20800,24100,27400,30400,34900,39600,42300,45900,50200,55200,60400,64600,69500,75600,81400,93700,119700,98500,110600,112100,118900,132700,131300,150300,159400,163300,170500,273500,189300,186800,196600,205500,213600,234200,287300,243000,264700,262500,273700,306400,295100,304700,425500,379700,339500,388600,567800,426500,416000,409800,434200,535600,435100,449800,585000,540700,489300,573200,559800,532000,547000,612000,656200,673200,692900,653200,727800,767000,688100,805300,721400,840200,861100,857700,870800,923200,914700,856600,935100,978300,997000,1030000,1071700,983500,1121400,1138700,1176600
Prueba 17,400,1100,2100,3600,5200,6200,7300,9200,10800,12900,15700,18500,21000,24500,27400,30900,34300,38700,42000,45800,102500,56200,59400,65400,70100,75100,81600,91300,166900,99000,111000,111400,120000,131400,132700,153600,161700,161500,172000,279400,208900,255200,197100,395700,289400,235000,448400,244100,290300,263800,270800,306800,294100,302800,332400,372000,339200,387900,370900,423700,406100,412100,430500,505200,435800,448200,635600,543100,487200,574700,544700,570000,546800,578100,656000,672300,690400,655100,724800,765700,720300,807100,739600,817700,837800,857800,876700,921700,915400,820800,952700,977400,998700,895400,1083800,1005600,1116900,1136400,1167100
Prueba 18,400,1100,2500,3200,4700,6300,7200,9000,11600,12900,15900,18100,21000,23700,28600,30600,34200,37700,42400,45900,53700,55000,60100,65000,71600,88500,81600,93700,213700,98800,112500,112600,119500,133300,134300,152600,158800,164000,170600,358800,198900,186500,196300,204700,212900,234700,351000,511100,279600,262400,273100,306300,308300,306000,336700,386200,339600,388600,370100,413800,407800,514000,438800,482300,739300,450200,568100,542600,489300,573900,544600,533200,847800,560900,657500,673500,691100,652800,724500,761000,705100,805300,737300,819300,872500,857800,876500,900700,919000,821300,930400,978900,1024300,895100,1072600,1016800,1115800,1135200,1159100
Prueba 19,400,1100,2200,2800,4400,6100,7200,8700,11100,13300,15700,18700,20800,24100,27100,30700,34500,38200,42600,46500,50900,55700,59800,64900,70500,78400,81500,96000,222000,98900,111000,111700,118200,132900,131400,151400,185600,184400,170000,171600,194900,188100,197100,205100,215400,238000,234700,242000,279900,264100,273300,305900,294300,306200,333300,395700,339500,388000,369100,414900,404000,398300,442900,482700,561900,449100,561400,528600,489400,574400,545000,531300,989700,602300,653300,673800,691600,635400,726800,765800,705500,801200,720300,794800,835000,855700,878900,893800,916200,858500,931500,977100,998600,894700,1072300,1006300,1083500,1144700,1170200
